iter	Logloss
0	0.6851201265
1	0.6754061657
2	0.6671864468
3	0.6567503058
4	0.6492382547
5	0.6407572705
6	0.632420374
7	0.6226487367
8	0.6146922733
9	0.6055622515
10	0.5966032277
11	0.5895527135
12	0.5818179172
13	0.5741665882
14	0.565500674
15	0.556369201
16	0.5475352329
17	0.5399482561
18	0.5320696209
19	0.5237934693
20	0.5162056633
21	0.5102914727
22	0.5045354263
23	0.4985297659
24	0.49279101
25	0.4876648032
26	0.4812420555
27	0.4738203546
28	0.4698862408
29	0.4629240451
30	0.4566149504
31	0.4519407853
32	0.4472934889
33	0.4413714202
34	0.4364992225
35	0.4317629441
36	0.426528599
37	0.4216286203
38	0.4175095765
39	0.4121199069
40	0.4080244562
41	0.4033407958
42	0.3983070125
43	0.3929648607
44	0.3888201921
45	0.3845319333
46	0.3813233998
47	0.3761612436
48	0.3717540243
49	0.3667352925
50	0.3634224767
51	0.3585936505
52	0.3547044008
53	0.3508705886
54	0.3467135222
55	0.3428818247
56	0.3392866176
57	0.336409859
58	0.3330455863
59	0.3287642728
60	0.3249523329
61	0.3212329823
62	0.3177290792
63	0.3143356987
64	0.3118467538
65	0.30796022
66	0.3050236495
67	0.301800873
68	0.2982523752
69	0.2950748568
70	0.2917767815
71	0.2889361589
72	0.2860985632
73	0.2833645033
74	0.2806496827
75	0.2772191296
76	0.2747706538
77	0.2720919485
78	0.2698907645
79	0.2666797223
80	0.26443129
81	0.2619520685
82	0.2591331109
83	0.2571170641
84	0.2544956829
85	0.2517616231
86	0.2491477054
87	0.24643218
88	0.2442056407
89	0.2421624142
90	0.2404198854
91	0.2386034675
92	0.2366677782
93	0.2349299555
94	0.2329014903
95	0.2311382294
96	0.2291688919
97	0.226894586
98	0.2246579295
99	0.222620197
100	0.2208822706
101	0.2193995766
102	0.217658499
103	0.2158227589
104	0.2139205103
105	0.2121221708
106	0.2101894462
107	0.2084272219
108	0.2064118593
109	0.204873396
110	0.203618713
111	0.2019751176
112	0.2008805068
113	0.1996537913
114	0.1982522633
115	0.1969193998
116	0.1956108549
117	0.1938966668
118	0.1922651581
119	0.1907910886
120	0.1892812356
121	0.1876506183
122	0.1860961085
123	0.1849765363
124	0.1836375776
125	0.1823563783
126	0.1813335004
127	0.1794536425
128	0.1785493104
129	0.1773853509
130	0.1761946056
131	0.1748291306
132	0.1735221407
133	0.1722146014
134	0.1710910693
135	0.1698914818
136	0.1686934596
137	0.1675441576
138	0.1666375036
139	0.1653298917
140	0.1640929968
141	0.1628223709
142	0.1617525764
143	0.1605103742
144	0.1592783721
145	0.1580157591
146	0.1566726954
147	0.1557232193
148	0.1546158169
149	0.1536080941
150	0.1525159297
151	0.1512316414
152	0.1504575792
153	0.1494036343
154	0.1485828006
155	0.1476755246
156	0.1465111712
157	0.1458948591
158	0.1450367389
159	0.1439098897
160	0.1430889316
161	0.1421945199
162	0.1411162252
163	0.1404615278
164	0.1397198076
165	0.1390054537
166	0.1381429693
167	0.1371539779
168	0.1364983061
169	0.1356770578
170	0.1347939864
171	0.1338807085
172	0.1331245174
173	0.1324214106
174	0.1314787761
175	0.1307523976
176	0.1299963723
177	0.1290897286
178	0.1283645941
179	0.1273803089
180	0.1266295081
181	0.1259237165
182	0.1251407292
183	0.1243782043
184	0.123663612
185	0.1230690998
186	0.1222451666
187	0.1215820727
188	0.1208681646
189	0.1202264143
190	0.1196316429
191	0.1190067167
192	0.1184143813
193	0.1176335293
194	0.1168726838
195	0.1162349556
196	0.1155590182
197	0.1150065505
198	0.1142143789
199	0.1134576383
200	0.1128217034
201	0.112081196
202	0.1114727414
203	0.1110417325
204	0.1105755619
205	0.1101166373
206	0.1094877202
207	0.1089386422
208	0.1085016624
209	0.1078805302
210	0.1072871581
211	0.1067364216
212	0.106137483
213	0.1055781945
214	0.1051189381
215	0.1046606354
216	0.1041555405
217	0.1036048454
218	0.1031121586
219	0.1026694775
220	0.1021474133
221	0.1015634433
222	0.1011196012
223	0.1005537406
224	0.1000189574
225	0.09957445186
226	0.09891658244
227	0.09840771426
228	0.09785657344
229	0.09731864929
230	0.09668192656
231	0.09634542465
232	0.09593165439
233	0.09550708273
234	0.09500532565
235	0.09443267532
236	0.09408058291
237	0.09367722014
238	0.09317007272
239	0.09273107156
240	0.09238215115
241	0.09190655791
242	0.0915113532
243	0.09107461183
244	0.09067251371
245	0.09026164594
246	0.08980798721
247	0.08951199573
248	0.08913303458
249	0.08861541748
250	0.0882585256
251	0.08783021181
252	0.08742718075
253	0.0871380723
254	0.08688249277
255	0.08639213313
256	0.08593000536
257	0.08541913654
258	0.08501780551
259	0.08469016137
260	0.08440038432
261	0.08400331891
262	0.08358737697
263	0.08323017929
264	0.08286762238
265	0.08259092725
266	0.08227569124
267	0.0819687636
268	0.08153443751
269	0.08125484508
270	0.08094772049
271	0.08062390659
272	0.08033399997
273	0.08004624947
274	0.07964894046
275	0.07933993962
276	0.07907304038
277	0.07881126196
278	0.07854325875
279	0.07819786279
280	0.07787066957
281	0.07757587018
282	0.0773661033
283	0.07701545695
284	0.0766114774
285	0.07634199702
286	0.0761395952
287	0.07591727506
288	0.07569044569
289	0.07546743103
290	0.07516262842
291	0.07471870339
292	0.07449264112
293	0.07423255236
294	0.07387355618
295	0.07365137598
296	0.07331102827
297	0.07295206319
298	0.07266407428
299	0.07239030237
300	0.07206592871
301	0.07175966968
302	0.07149716046
303	0.07129595591
304	0.07113390902
305	0.07089487884
306	0.0706195935
307	0.07029485703
308	0.07002057718
309	0.06971208946
310	0.06943868554
311	0.06910231839
312	0.06875582363
313	0.06856714124
314	0.06832026399
315	0.06801850381
316	0.06773873516
317	0.06755867212
318	0.06741392094
319	0.06714899125
320	0.06692974464
321	0.06660712802
322	0.06632370534
323	0.06606832795
324	0.06580932244
325	0.06555656765
326	0.065318232
327	0.06514790784
328	0.06493265732
329	0.06467906288
330	0.06441393106
331	0.06418553643
332	0.06394083604
333	0.0637621154
334	0.06354201877
335	0.06331790012
336	0.06304069187
337	0.0628217977
338	0.06258784688
339	0.06232693921
340	0.06216077183
341	0.06197871333
342	0.06179823046
343	0.06150087585
344	0.06126473261
345	0.06101476628
346	0.06082635859
347	0.06057907187
348	0.06029132138
349	0.06007919104
350	0.05977341403
351	0.0595217684
352	0.05937455011
353	0.05914218529
354	0.05898114909
355	0.05878205921
356	0.05860630844
357	0.05849289894
358	0.05834745324
359	0.05807928417
360	0.05788795844
361	0.05772058342
362	0.05757220413
363	0.05734965076
364	0.05713908569
365	0.05694690476
366	0.0567922955
367	0.05656342921
368	0.0564304953
369	0.05626909111
370	0.05612092951
371	0.05590437806
372	0.05568992573
373	0.05552032201
374	0.05531503325
375	0.05513338939
376	0.05490663777
377	0.05470303349
378	0.054482771
379	0.05436908162
380	0.05419240827
381	0.0540384417
382	0.05390068241
383	0.05371670619
384	0.05352544266
385	0.05332609882
386	0.05307752671
387	0.0528814378
388	0.05276725085
389	0.05263624502
390	0.05247104686
391	0.05228610661
392	0.05217985485
393	0.05200626021
394	0.05188589511
395	0.0517349606
396	0.05160939175
397	0.05136876003
398	0.05121652976
399	0.05106602026
400	0.05084093239
401	0.05071774773
402	0.05058771113
403	0.05043414365
404	0.05025975601
405	0.05013572651
406	0.05000744177
407	0.04991252526
408	0.04974578256
409	0.0495865656
410	0.04943197188
411	0.04932823388
412	0.0492251334
413	0.04912101704
414	0.04895492222
415	0.04876489743
416	0.04862842871
417	0.04847930307
418	0.04835732087
419	0.04817783314
420	0.04801309627
421	0.04781929306
422	0.04764217916
423	0.0474906797
424	0.04740162518
425	0.04725916489
426	0.0470673727
427	0.04689542107
428	0.04675953285
429	0.04672542862
430	0.04655888806
431	0.04641738664
432	0.04627390011
433	0.04609940363
434	0.04606234509
435	0.04597985744
436	0.04586799767
437	0.04573647872
438	0.04561393676
439	0.04550520233
440	0.04535518522
441	0.04519482799
442	0.04498186837
443	0.04486222889
444	0.04465314616
445	0.04452089641
446	0.04436583104
447	0.04418838542
448	0.04406094551
449	0.04392707348
450	0.04379100385
451	0.04368378805
452	0.04350279207
453	0.04336886561
454	0.04326230547
455	0.04308986146
456	0.04296926571
457	0.0428720609
458	0.04275532391
459	0.04264639253
460	0.04252527071
461	0.04246051674
462	0.0422830478
463	0.04217339599
464	0.04210334757
465	0.04199354804
466	0.04185129767
467	0.0417455383
468	0.04164341999
469	0.04152053335
470	0.04146083023
471	0.041332022
472	0.04120929863
473	0.04103894337
474	0.04090193562
475	0.04081041398
476	0.04069127726
477	0.04058859141
478	0.04048908534
479	0.0403375211
480	0.04022665646
481	0.04011617536
482	0.04000445293
483	0.03987804444
484	0.03978569611
485	0.03969733352
486	0.03958205036
487	0.03953266921
488	0.03940993547
489	0.03932895349
490	0.03924738065
491	0.03914667212
492	0.03901739483
493	0.03889771907
494	0.03878379905
495	0.03870354528
496	0.0386062705
